expression;categorie
à l’aise;1
absorbé;1
adouci;1
affermi;1
aimant;1
alerte;1
allégé;1
amadoué;1
apaisé;1
apitoyé;1
assouvi;1
attendri;1
attentif;1
bien disposé;1
calme;1
centré;1
comblé;1
compatissant;1
compréhensif;1
concentré;1
concerné;1
conciliant;1
confiant;1
confortable;1
conforté;1
consolé;1
consolidé;1
cool;1
d’humeur amicale;1
d’humeur insouciante;1
dans l’indicible;1
dans l’unité;1
dans la plénitude;1
déchargé;1
décontracté;1
décrispé;1
délassé;1
délesté;1
délivré;1
détaché;1
détendu;1
déterminé;1
disponible;1
dispos;1
dubitatif;1
égal;1
empli de bienveillance;1
empli de tendresse;1
empressé;1
en confiance;1
en harmonie avec;1
en paix;1
encouragé;1
épanoui;1
équilibré;1
éveillé;1
flegmatique;1
fortifié;1
gavé;1
gonflé à bloc;1
impassible;1
impavide;1
imperturbable;1
impliqué;1
incrédule;1
inébranlable;1
insouciant;1
inspiré;1
intéressé;1
léger;1
libéré;1
libre;1
miséricordieux;1
mobilisé;1
nonchalant;1
nourri;1
ouvert;1
paisible;1
peinard;1
placide;1
plein;1
plein d’affection;1
plein d’amour;1
plein d’application;1
plein d’aplomb;1
plein d’appréciation;1
plein d’assurance;1
plein d’empathie;1
plein d’énergie;1
plein d’équanimité;1
plein d’inclination;1
plein de bénignité;1
plein de chaleur;1
plein de commisération;1
plein de compassion;1
plein de douceur;1
plein de gratitude;1
plein de mansuétude;1
plein d’opiniâtreté;1
plein de persévérance;1
plein de pitié;1
plein de prévenance;1
plein de quiétude;1
plein de révérence;1
plein de sympathie;1
plein de tendresse;1
pondéré;1
posé;1
présent;1
proche;1
quiet;1
radouci;1
raffermi;1
rafraîchi;1
ragaillardi;1
rassasié;1
rasséréné;1
rassuré;1
réchauffer le coeur;1
réconforté;1
reconnaissant;1
récréé;1
régénéré;1
regonflé;1
relâché;1
relax;1
relaxé;1
relié;1
remonté;1
renforcé;1
reprendre haleine;1
repu;1
renforcé;1
résolu;1
rester de marbre;1
revigoré;1
satisfait;1
sceptique;1
sécurisé;1
sensibilisé;1
sensible;1
serein;1
soulagé;1
stable;1
stimulé;1
stoïque;1
sûr de soi;1
tenir au coeur;1
tranquille;1
vacant;1
zen;1
abasourdi;2
agité;2
ahuri;2
assommé;2
avoir le souffle coupé;2
blindé;2
bluffé;2
chancelant;2
choqué;2
confondu;2
confus;2
débordé;2
déboussolé;2
déconcerté;2
décontenancé;2
dépaysé;2
dérangé;2
dérouté;2
désarçonné;2
désemparé;2
désorienté;2
déstabilisé;2
distrait;2
ébahi;2
éberlué;2
effaré;2
égaré;2
embarrassé;2
embrouillé;2
emmêlé;2
émotionné;2
ému;2
en boucher un coin;2
en plein désarroi;2
en rester comme deux;2
ronds;2
de flan;2
en suspens;2
engourdi;2
épaté;2
estomaqué;2
étonné;2
étourdi;2
figé;2
foudroyé;2
frappé;2
frappé de stupeur;2
hébété;2
hésitant;2
impressionné;2
incommodé;2
indécis;2
interdit;2
interloqué;2
interpellé;2
intrigué;2
irrésolu;2
médusé;2
ne pas savoir sur quel;2
pied danser;2
pantois;2
perplexe;2
pétrifié;2
plombé;2
pris au dépourvu;2
pris de court;2
prostré;2
renversé;2
rester bouche bée;2
retourné;2
saisi;2
saturé;2
scotché;2
secoué;2
sidéré;2
soufflé;2
stupéfait;2
suffoqué;2
surpris;2
titubant;2
tomber des nues;2
touché;2
troublé;2
vacillant;2
vide;2
à la noce;3
admiratif;3
allègre;3
aller au coeur;3
altier;3
amoureux;3
amour;3
amusé;3
animé;3
ardent;3
attiré;3
aux anges;3
au septième ciel;3
béat;3
bienheureux;3
bouillonnant;3
bouleversé;3
captivé;3
charmé;3
comblé;3
content;3
curieux;3
d’humeur allègre;3
d’humeur aventureuse;3
d’humeur câline;3
d’humeur badine;3
d’humeur enjouée;3
d’humeur espiègle;3
d’humeur expansive;3
d’humeur exubérante;3
d’humeur folâtre;3
d’humeur guillerette;3
d’humeur jubilatoire;3
d’humeur pétillante;3
d’humeur rieuse;3
d’humeur voluptueuse;3
dans l’indicible;3
dans l’unité;3
dans la béatitude;3
de bonne humeur;3
déridé;3
diverti;3
ébloui;3
égayé;3
électrisé;3
emballé;3
embrasé;3
émerveillé;3
émoustillé;3
empressé;3
ému;3
en effervescence;3
en expansion;3
en extase;3
en liesse;3
en pleine forme;3
enchanté;3
énergétisé;3
enflammé;3
engoué;3
enivré;3
enjoué;3
enlevé;3
ensorcelé;3
enthousiaste;3
envoûté;3
épanoui;3
épaté;3
éperdu;3
éperonné;3
épris;3
euphorique;3
exalté;3
excité;3
extatique;3
exultant;3
fasciné;3
fier;3
fou de joie;3
frémissant;3
frétillant;3
gai;3
galvanisé;3
grisé;3
guilleret;3
heureux;3
hilare;3
intrigué;3
joyeux;3
jubilant;3
nourri;3
optimiste;3
passionné;3
pétilant;3
pétulant;3
plein;3
plein d’acharnement;3
plein d’amour;3
plein d’ardeur;3
plein d’effervescence;3
plein d’élan;3
plein d’émoi;3
plein d’entrain;3
plein d’espoir;3
plein d’hardiesse;3
plein de courage;3
plein d’énergie;3
plein de félicité;3
plein de ferveur;3
plein de feu;3
plein de fièvre;3
plein de fougue;3
plein de gratitude;3
plein de hâte;3
plein de liesse;3
plein de pétulance;3
plein de ténacité;3
plein de vénération;3
plein de vertige;3
plein de vie;3
plein de vivacité;3
plein de zèle;3
prendre feu;3
radieux;3
ravi;3
ravigoté;3
rayonnant;3
réjoui;3
remonté;3
rempli de bonheur;3
riant;3
satisfait;3
se fendre la gueule;3
séduit;3
stimulé;3
submergé de joie;3
surexcité;3
survolté;3
tenté;3
titillé;3
tonifié;3
touché;3
transi;3
transporté;3
troublé;3
vibrant;3
vif;3
vivant;3
vivifié;3
à bout;4
abattu;4
accablé;4
affecté;4
affligé;4
anesthésié;4
assommé;4
atteint;4
atterré;4
attristé;4
avoir de la peine;4
avoir du vague à l’âme;4
avoir le bourdon;4
avoir le cafard;4
avoir le coeur brisé;4
avoir le cœur gros;4
avoir le cœur lourd;4
avoir le cœur percé;4
avoir le coeur serré;4
avoir quelque chose sur le;4
coeur;4
baisser les bras;4
battre sa coulpe;4
bouleversé;4
broyer du noir;4
cafardeux;4
chagriné;4
chaviré;4
comme une âme en peine;4
confondu;4
consterné;4
contrarié;4
contristé;4
contrit;4
coupable;4
d’humeur chagrine;4
d’humeur noire;4
dans tous ses états;4
de mauvaise humeur;4
déchiré;4
déconfit;4
découragé;4
déçu;4
défait;4
dégrisé;4
démoralisé;4
démotivé;4
dépité;4
déprimé;4
désabusé;4
désappointé;4
désespéré;4
désenchanté;4
désillusionné;4
désolé;4
ébranlé;4
embêté;4
ému;4
en avoir gros sur le coeur;4
en avoir sec;4
en désarroi;4
en détresse;4
en manque;4
ennuyé;4
éploré;4
éteint;4
étiolé;4
étourdi;4
fendre le coeur;4
frappé;4
honteux;4
inconfortable;4
insatisfait;4
lourd;4
lugubre;4
mal à l’aise;4
malheureux;4
maussade;4
mécontent;4
mélancolique;4
mi-figue, mi-raisin;4
misérable;4
morne;4
morose;4
mortifié;4
navré;4
ne pas en mener large;4
neurasthénique;4
nostalgique;4
paumé;4
peiné;4
penaud;4
perturbé;4
pessimiste;4
plein de regret;4
plombé;4
plus mort que vif;4
préoccupé;4
prostré;4
réduit au désespoir;4
rembruni;4
repentant;4
résigné;4
saisi;4
sans élan;4
sans entrain;4
secoué;4
sombre;4
soucieux;4
submergé;4
surmené;4
terrassé;4
tourmenté;4
tracassé;4
traumatisé;4
triste;4
troublé;4
vaseux;4
avoir le coeur au bord des;5
lèvres;5
avoir le coeur dans la;5
gorge;5
dégoûté;5
écoeuré;5
plein de répugnance;5
rebuté;5
rempli de répulsion;5
révulsé;5
soulever le coeur;5
à bout;6
à cran;6
à crin;6
acariâtre;6
acerbe;6
acrimonieux;6
agacé;6
agité;6
amer;6
asticoté;6
atrabilaire;6
avoir les nerfs à fleur de;6
peau;6
avoir les nerfs en boule;6
avoir les nerfs en pelote;6
avoir un coup de sang;6
avoir quelque chose sur le;6
coeur;6
blessé;6
bouillonnant;6
choqué;6
coléreux;6
colére;6
contracté;6
contrarié;6
courir sur le haricot;6
courroucé;6
crispé;6
d’humeur acariâtre;6
d’humeur bougonne;6
d’humeur bourrue;6
d’humeur hostile;6
d’humeur massacrante;6
d’humeur noire;6
d’humeur querelleuse;6
d’humeur réprobatrice;6
d’humeur revêche;6
d’humeur ronchonneuse;6
dans des transes;6
dans tous ses états;6
décharger sa bile;6
dédaigneux;6
défiant;6
dérangé;6
devenir chèvre;6
échauffé;6
emporté;6
en avoir assez;6
en avoir marre;6
en avoir par dessus la tête;6
en avoir plein le dos;6
en avoir ras le bol;6
en avoir sa claque;6
en colère;6
en pétard;6
en rogne;6
écoeuré;6
énervé;6
entêté;6
envieux;6
éperdu;6
éperonné;6
être à bout de nerf;6
exalté;6
exaspéré;6
excédé;6
excité;6
fâché;6
faire endêver;6
faire tourner les sangs;6
froissé;6
frustré;6
garder rancune;6
grincheux;6
grognon;6
haineux;6
hargneux;6
hérissé;6
heurté;6
horripilé;6
hors de ses gonds;6
impatient;6
indigné;6
irascible;6
irrité;6
jaloux;6
mal disposé;6
marri;6
mécontent;6
méfiant;6
morose;6
nerveux;6
offusqué;6
ombrageux;6
outré;6
piqué au vif;6
piteux;6
plein d’acharnement;6
plein d’aigreur;6
plein d’animosité;6
plein d’aversion;6
plein d’exécration;6
plein d’ire;6
plein de bile;6
plein de fiel;6
plein de fièvre;6
plein de frénésie;6
plein de hâte;6
plein de rancœur;6
plein de rancune;6
plein de récrimination;6
plein de réprobation;6
plein de ressentiment;6
plein de véhémence;6
porter sur les nerfs;6
prendre feu;6
prendre la mouche;6
prendre ombrage;6
rebêqué;6
rebuté;6
refroidi;6
rembruni;6
remonté;6
renfermé;6
rétif;6
révolté;6
s’échauffer la bile;6
scandalisé;6
se foutre en bombe;6
se mettre en boule;6
sombre;6
soupçonneux;6
sur les nerfs;6
surexcité;6
survolté;6
susceptible;6
suspicieux;6
taper sur les nerfs;6
tendu;6
titillé;6
tourmenté;6
tracassé;6
transi;6
ulcéré;6
vexé;6
enragé;7
fou furieux;7
furax;7
furibond;7
furieux;7
hors de soi;7
ivre de rage;7
poussé à bout;7
affolé;8
alarmé;8
anesthésié;8
angoissé;8
anxieux;8
apeuré;8
aux abois;8
aux cent coups;8
avide;8
avoir des sueurs froides;8
avoir la frousse;8
avoir la hantisse;8
avoir la pétoche;8
avoir la trouille;8
avoir les foies;8
avoir les grelots;8
avoir les jetons;8
blindé;8
bloqué;8
chaviré;8
circonspect;8
coupable;8
craintif;8
dans des affres;8
dans des transes;8
déchiré;8
effarouché;8
effrayé;8
embarrassé;8
en alerte;8
en désarroi;8
en détresse;8
envieux;8
faire tourner les sangs;8
fébrile;8
gêné;8
hérissé;8
impatient;8
incrédule;8
inquiet;8
intimidé;8
jaloux;8
mal à l’aise;8
mal assuré;8
méfiant;8
pantelant;8
pessimiste;8
plein d’appréhension;8
plein de convoitise;8
plein de hâte;8
plein de pudeur;8
plein de trac;8
plus mort que vif;8
préoccupé;8
prudent;8
réservé;8
réticent;8
sceptique;8
se faire de la bile;8
se faire du mauvais sang;8
se faire du mouron;8
se faire un sang d’encre;8
se retourner les sangs;8
se ronger les moelles;8
se ronger les poings;8
se ronger les sangs;8
soucieux;8
soupçonneux;8
sur des braises;8
sur des charbons ardents;8
sur la défensive;8
sur la réserve;8
sur le qui-vive;8
sur ses gardes;8
suspicieux;8
timoré;8
tomber de haut;8
transi;8
traumatisé;8
tremblant;8
trémulant;8
vulnérable;8
épouvanté;9
glacé de peur;9
horrifié;9
paniqué;9
plein d’effroi;9
plein de frousse;9
terrifié;9
terrorisé;9
traumatisé;9
à plat;10
abattu;10
abruti;10
absent;10
accablé;10
affaibli;10
alangui;10
amoindri;10
anesthésié;10
apathique;10
appesanti;10
assourdi;10
atone;10
au bout du rouleau;10
baisser les bras;10
ballotté;10
blasé;10
bloqué;10
chaviré;10
claqué;10
confus;10
coupé;10
crevé;10
dans tous ses états;10
débordé;10
déchiré;10
déconnecté;10
démobilisé;10
démonté;10
démuni;10
dépassé;10
dépourvu;10
déprimé;10
déréglé;10
désarmé;10
désespéré;10
désoeuvré;10
détraqué;10
diminué;10
distant;10
distrait;10
divisé;10
ébranlé;10
écartelé;10
effondré;10
embarrassé;10
embrouillé;10
emmêlé;10
en retrait;10
en suspens;10
endormi;10
engourdi;10
ennuyé;10
éprouvé;10
épuisé;10
éreinté;10
essouflé;10
éteint;10
étiolé;10
exténué;10
fatigué;10
flageolant;10
flapi;10
fourbu;10
harassé;10
hésitant;10
impuissant;10
inattentif;10
incertain;10
incommodé;10
inconfortable;10
indécis;10
indéterminé;10
indifférent;10
indolent;10
inerte;10
insensibilisé;10
instable;10
intimidé;10
irrésolu;10
K.-O.;10
languissant;10
las;10
lassé;10
léthargique;10
lourd;10
mal à l’aise;10
mal assuré;10
moulu;10
n’en pouvoir plus;10
ne pas savoir sur quel;10
pied danser;10
pantelant;10
partagé;10
paumé;10
pensif;10
perdre la boussole;10
perdre pied;10
perdu;10
perplexe;10
perturbé;10
piteux;10
plein d’atermoiement;10
plein de doute;10
plein de scrupules;10
plein de tergiversation;10
plein de torpeur;10
plus mort que vif;10
ramolli;10
recru;10
rendu;10
résigné;10
rêveur;10
rompu;10
roué de fatigue;10
sans élan;10
sans entrain;10
saturé;10
seul;10
somnolent;10
souffrant;10
soûlé;10
sous pression;10
submergé;10
sur la retenue;10
sur les dents;10
surmené;10
tanné;10
terrassé;10
tiède;10
timide;10
tiraillé;10
usé;10
vanné;10
vaseux;10
vidé;10
vulnérable;10
